Código CNS;Serventia;Processos Realizados;Comarca;UF
033787;Registro de Imóveis de Andrelândia;2;Andrelândia;MG
038646;Registro de Imóveis de São Roque de Minas;2;Sao Roque de Minas;MG
093427;Ofício de Justiça de São João da Barra;2;Sao Joao da Barra;RJ
047175;Registro de Imóveis de Itabirito;2;Itabirito;MG
023028;1º Registro de Imóveis de Barra de São Francisco;1;Barra de Sao Francisco;ES
098574;Registro de Imóveis de Chiapetta;1;Chiapetta;RS
100099;Registro de Imóveis de Capão da Canoa;1;Capao da Canoa;RS
028290;1º Registro de Imóveis de Pires do Rio;1;Pires do Rio;GO
107896;1º Registro de Imóveis de Joinville;1;Joinville;SC
138008;Registro de Imóveis de Catu;1;Catu;BA
087080;Registro de Imóveis de Centenario do Sul;1;Centenario do Sul;PR
089524;13º Oficio de Justiça de Campos dos Goytacazes;1;Campos dos Goytacazes;RJ
057018;Registro de Imóveis de Bueno Brandão;1;Bueno Brandao;MG
089409;Ofício de Justiça de Mendes;1;Mendes;RJ
049288;2º Registro de Imóveis de Carangola;1;Carangola;MG
124362;Registro de Imóveis de Pedregulho;1;Pedregulho;SP
